"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript JSX", "XML", "Prisma", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\bb\Desktop\hiddenwolf\lib\utils.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\bb\Desktop\hiddenwolf\middleware.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\bb\Desktop\hiddenwolf\next.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\bb\Desktop\hiddenwolf\next.config.mjs", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\bb\Desktop\hiddenwolf\package-lock.json", "JSON", 0, 0, 6335, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6336
"c:\Users\bb\Desktop\hiddenwolf\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\bb\Desktop\hiddenwolf\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\bb\Desktop\hiddenwolf\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 4, 15
"c:\Users\bb\Desktop\hiddenwolf\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\bb\Desktop\hiddenwolf\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\bb\Desktop\hiddenwolf\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\bb\Desktop\hiddenwolf\tailwind.config.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\bb\Desktop\hiddenwolf\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 122, 26, 6402, 13, 26, 969, 3, 7, 33, 1100, 66, 296, 9063
